INFO: 1.1 - Каталог: .git | Флаг каталога: True | Родительский каталог: Dive_in_Python
INFO: 47.1 - Файл:  | Расширение: 042a9a8418756079d605160e5fe6cbaaeb450d | Родительский каталог: 55
INFO: 47.2 - Файл:  | Расширение: 220decad5bd3a3edbeee09512ecf2c3dcc88c6 | Родительский каталог: 55
INFO: 48.1 - Файл:  | Расширение: 80d655ea15b3ce5a1b99c35d17cb7944ee695a | Родительский каталог: 56
INFO: 49.1 - Файл:  | Расширение: 3d8e2cdb5c47dc3ed89d0e5f53512d65533d22 | Родительский каталог: 57
INFO: 50.1 - Файл:  | Расширение: 12731dbe8e6f1e74103f585370ad63b34f45b5 | Родительский каталог: 58
INFO: 51.1 - Файл:  | Расширение: 04dc62fbfb099e39db96d8c1ec2c0008fb19da | Родительский каталог: 59
INFO: 52.1 - Файл:  | Расширение: 76779f32255fd0bd9eb47826331a8a54f54672 | Родительский каталог: 5b
INFO: 52.2 - Файл:  | Расширение: d159d1277a9ba9a8110908c9c47638f3244f49 | Родительский каталог: 5b
INFO: 53.1 - Файл:  | Расширение: 22590a9e4b5fe922049cee99f164a5c95b02a6 | Родительский каталог: 5d
INFO: 54.1 - Файл:  | Расширение: 0ec90e29f00ca1964787c418d8a1aad2e72f89 | Родительский каталог: 5e
INFO: 55.1 - Файл:  | Расширение: 7742eb21a4ae536a5b19f2b77bac7fd7fdef6f | Родительский каталог: 5f
INFO: 55.2 - Файл:  | Расширение: fe5fd99a76760fe0c5296f1c90c1465dd9d69d | Родительский каталог: 5f
INFO: 56.1 - Файл:  | Расширение: 9004fea66f54a276c5e63b82d02c438f373994 | Родительский каталог: 60
INFO: 57.1 - Файл:  | Расширение: 9d93673e33db652c760a8fff3761a2c664ce72 | Родительский каталог: 63
INFO: 58.1 - Файл:  | Расширение: 5d3410a28107a0f4b56a822b396acfc2344930 | Родительский каталог: 65
INFO: 59.1 - Файл:  | Расширение: 54f920159d8bc6b71cef75692e47e5c7efb1e4 | Родительский каталог: 69
INFO: 60.1 - Файл:  | Расширение: 9962636bc7d7824c74f1470ba5d2346d60f76d | Родительский каталог: 6d
INFO: 60.2 - Файл:  | Расширение: ae538156b491f4d7e1efc0dd88f5ae48d9abe4 | Родительский каталог: 6d
INFO: 61.1 - Файл:  | Расширение: a9a732c6df61327db812d13a60883e6f02276a | Родительский каталог: 6e
INFO: 62.1 - Файл:  | Расширение: d419e6fa1728eafbd2283678f5be701ba6a460 | Родительский каталог: 6f
INFO: 63.1 - Файл:  | Расширение: 62fed5542286627c83bd561594944c6dca5bf1 | Родительский каталог: 70
INFO: 63.2 - Файл:  | Расширение: 9972b61ff02ae5ca515cf6dfc7649822b02056 | Родительский каталог: 70
INFO: 63.3 - Файл:  | Расширение: cbf65eb394681e86782883af5ef140a068f964 | Родительский каталог: 70
INFO: 64.1 - Файл:  | Расширение: 03038acdf0b39157b96d4948fcfe8438c2cdcb | Родительский каталог: 74
INFO: 65.1 - Файл:  | Расширение: b4e0a1ffa9e7b25e225048be2cc3be1ad6d99f | Родительский каталог: 79
INFO: 66.1 - Файл:  | Расширение: c6496bca1c98b3818902aea287df44abf6d2e3 | Родительский каталог: 7a
INFO: 67.1 - Файл:  | Расширение: 6eab6d38f6bbbe7f169c0986adafd172a76795 | Родительский каталог: 7c
INFO: 68.1 - Файл:  | Расширение: 71c78465637e867a3060eb68cda13889f208b1 | Родительский каталог: 7e
INFO: 69.1 - Файл:  | Расширение: 813065204442b6c448059a42702c88876ac10e | Родительский каталог: 7f
INFO: 70.1 - Файл:  | Расширение: a826169f0336e604844dcd85182b3086554e3b | Родительский каталог: 80
INFO: 70.2 - Файл:  | Расширение: a90e6968e6a7e97fc19b4a9d79415acebd5283 | Родительский каталог: 80
INFO: 71.1 - Файл:  | Расширение: ff7db9ee659d8c94df537751c421626354ff51 | Родительский каталог: 81
INFO: 72.1 - Файл:  | Расширение: a29f3ab7366df024725c873d906d6d418cc1fb | Родительский каталог: 83
INFO: 73.1 - Файл:  | Расширение: 34bd279aa24244ed964ce4bc0962fe995d4f9f | Родительский каталог: 84
INFO: 74.1 - Файл:  | Расширение: d851aea452e7fe36de2eb8361664510037b84d | Родительский каталог: 89
INFO: 75.1 - Файл:  | Расширение: f0c48c8b4d5669b5b871bd713b4843d79a6b0d | Родительский каталог: 8a
INFO: 76.1 - Файл:  | Расширение: aa8c0633f02808ae996b0024ac4685a4cac09e | Родительский каталог: 8b
INFO: 77.1 - Файл:  | Расширение: df8439766f5ccac0422da79ac14e922c8c4cae | Родительский каталог: 8c
INFO: 78.1 - Файл:  | Расширение: 35114920ae8a98fd0e55728ebdd58d80df097e | Родительский каталог: 94
INFO: 79.1 - Файл:  | Расширение: 09afcd43808f4696bef39555f30a796de04d65 | Родительский каталог: 95
INFO: 80.1 - Файл:  | Расширение: a0f1fa12a6396289817af6c60448b9215263ce | Родительский каталог: 97
INFO: 81.1 - Файл:  | Расширение: 4d6c81765e7d6ee393614792e0ee061146b674 | Родительский каталог: 98
INFO: 81.2 - Файл:  | Расширение: a4c380d43c9b994d1adbb90852631c53b1ea98 | Родительский каталог: 98
INFO: 82.1 - Файл:  | Расширение: 904b27b12955ef3e49f590b5f5f5693b5f4fb1 | Родительский каталог: 99
INFO: 83.1 - Файл:  | Расширение: 45c47aae1bd299e1f832fc141af26c899a9ae4 | Родительский каталог: 9a
